source_dir,timestamp,instance,algorithm,best_objective,best_distance,time_violation,capacity_violation,vehicle_violation,routes,runtime_ms,solutions_evaluated,penalty_weight,enforce_time_windows,parameters,feasible
resultsSA/Exp51,2026-04-23 17:20:12,data101.vrp,sa,1085.690782375405,1085.690782375405,13871.766222834876,0.0,0.0,8,86,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp52,2026-04-23 17:20:13,data101.vrp,sa,1095.4997666293905,1095.4997666293905,15091.629661457038,0.0,0.0,8,92,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp53,2026-04-23 17:20:13,data101.vrp,sa,1151.1748235456073,1151.1748235456073,15132.243212103089,0.0,0.0,8,87,30001,1000.0,False,iterations=30000; seed=66571993103; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp54,2026-04-23 17:43:12,data101.vrp,sa,1115.0516796855056,1115.0516796855056,15448.09549356046,0.0,0.0,8,89,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp55,2026-04-23 17:43:12,data101.vrp,sa,1332.2520840437091,1332.2520840437091,13119.829952776565,0.0,0.0,8,78,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp56,2026-04-23 17:43:13,data101.vrp,sa,1792.602157166002,1792.602157166002,17812.154359454235,0.0,0.0,8,57,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp57,2026-04-23 17:49:31,data101.vrp,sa,1073.804570606475,1073.804570606475,14733.99999532478,0.0,0.0,8,77,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp58,2026-04-23 17:49:31,data101.vrp,sa,1083.2948437861894,1083.2948437861894,12783.220676669318,0.0,0.0,8,86,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp59,2026-04-23 17:49:32,data101.vrp,sa,1115.0516796855056,1115.0516796855056,15448.09549356046,0.0,0.0,8,81,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp6,2026-04-22 19:39:57,data101.vrp,sa,1071.91270895579,1071.91270895579,14913.64497771768,0.0,0.0,8,87,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp60,2026-04-23 17:49:32,data101.vrp,sa,1077.5316556225475,1077.5316556225475,12784.999382259728,0.0,0.0,8,83,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp61,2026-04-23 17:49:33,data101.vrp,sa,1124.0396612014536,1124.0396612014536,14058.278598614032,0.0,0.0,8,85,30001,1000.0,False,iterations=30000; seed=66571993104; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp62,2026-04-23 18:51:46,data101.vrp,sa,1046.8244373052246,1046.8244373052246,15469.81884763638,0.0,0.0,8,85,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp63,2026-04-23 18:51:46,data101.vrp,sa,1216.405242389909,1216.405242389909,16634.731237231696,0.0,0.0,8,86,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp64,2026-04-23 18:51:46,data101.vrp,sa,1756.8541773852555,1756.8541773852555,16245.194300591882,0.0,0.0,8,52,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp65,2026-04-23 18:57:56,data101.vrp,sa,1086.1858248886542,1086.1858248886542,17300.220045085796,0.0,0.0,8,79,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp66,2026-04-23 18:57:57,data101.vrp,sa,1080.9445046661124,1080.9445046661124,15090.186937611015,0.0,0.0,8,84,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp67,2026-04-23 18:57:57,data101.vrp,sa,1046.8244373052246,1046.8244373052246,15469.81884763638,0.0,0.0,8,89,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp68,2026-04-23 18:57:58,data101.vrp,sa,1142.3098229874818,1142.3098229874818,15804.546027322607,0.0,0.0,8,92,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1250.0; coolingRate=0.9997; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp69,2026-04-23 18:57:58,data101.vrp,sa,1062.361830890634,1062.361830890634,14581.717536350796,0.0,0.0,8,100,30001,1000.0,False,iterations=30000; seed=66571993105; initialTemp=1400.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp7,2026-04-22 19:39:58,data101.vrp,sa,1149.3491375264473,1149.3491375264473,14993.21168258619,0.0,0.0,8,98,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultsSA/Exp70,2026-04-24 10:03:39,data101.vrp,sa,1855.7016539670497,1855.7016539670497,0.0,0.0,0.0,23,102,30001,1000.0,True,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp71,2026-04-24 10:12:32,data111.vrp,sa,1322.8182527200422,1322.8182527200422,0.0,0.0,0.0,16,79,30001,1000.0,True,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp72,2026-04-24 10:18:11,data201.vrp,sa,1471.7668536761057,1471.7668536761057,0.0,0.0,0.0,11,97,30001,1000.0,True,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9993; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultsSA/Exp8,2026-04-22 19:39:58,data101.vrp,sa,1762.186010903243,1762.186010903243,19206.716872790534,0.0,0.0,8,61,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1250.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
resultsSA/Exp9,2026-04-22 19:46:00,data101.vrp,sa,1076.7534517408378,1076.7534517408378,13129.936257488836,0.0,0.0,8,90,30001,1000.0,False,iterations=30000; seed=66571993098; initialTemp=1000.0; coolingRate=0.9995; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultTABU/Exp1,2026-04-22 17:24:59,data101.vrp,tabu,1815.7179544439252,1815.7179544439252,0.0,0.0,0.0,24,402626,355334439,1000.0,True,iterations=30000; seed=15032385571; tabuTenure=10; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,True
resultTABU/Exp10,2026-04-22 19:54:30,data101.vrp,tabu,1040.3258887374602,1040.3258887374602,14754.459768844245,0.0,0.0,8,264859,281517019,1000.0,False,iterations=30000; seed=15032385570; tabuTenure=50; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultTABU/Exp11,2026-04-23 12:32:39,data101.vrp,tabu,1040.3258887374602,1040.3258887374602,14754.459768844245,0.0,0.0,8,59888616,281532015,1000.0,False,iterations=30000; seed=15032385570; tabuTenure=60; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultTABU/Exp12,2026-04-23 12:37:03,data101.vrp,tabu,1040.3258887374602,1040.3258887374602,14754.459768844245,0.0,0.0,8,263110,281533729,1000.0,False,iterations=30000; seed=15032385570; tabuTenure=70; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultTABU/Exp13,2026-04-23 12:41:30,data101.vrp,tabu,943.4658738436924,943.4658738436924,14214.633926379993,0.0,0.0,8,265549,282103393,1000.0,False,iterations=30000; seed=15032385571; tabuTenure=50; interNeighborhoodType=relocate; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultTABU/Exp14,2026-04-23 12:43:19,data101.vrp,tabu,1255.9512611536295,1255.9512611536295,16816.88771279364,0.0,0.0,8,108877,129300001,1000.0,False,iterations=30000; seed=15032385571; tabuTenure=50; interNeighborhoodType=exchange; intraNeighborhoodType=relocate; vehicleLimit=2147483647,False
resultTABU/Exp15,2026-04-23 12:43:33,data101.vrp,tabu,1744.5325821146553,1744.5325821146553,20430.494408868693,0.0,0.0,8,13200,16410001,1000.0,False,iterations=30000; seed=15032385571; tabuTenure=50; interNeighborhoodType=relocate; intraNeighborhoodType=2opt; vehicleLimit=2147483647,False
